,ent_regis,Capital,Estado,Latitude,Longitude,data_year,count_,location
0,1,Aguascalientes, Aguascalientes,21.8823395,-102.28259279999999,2017,6320,"(21.8823395, -102.28259279999999)"
1,2,Mexicali, Baja California,32.6278114,-115.4544601,2017,20820,"(32.6278114, -115.4544601)"
2,3,La Paz, Baja California Sur,26.044444600000002,-111.66607250000001,2017,3984,"(26.044444600000002, -111.66607250000001)"
3,4,San Francisco de Campeche, Campeche,19.843860600000003,-90.5255432,2017,4524,"(19.843860600000003, -90.5255432)"
4,5,Saltillo, Coahuila,25.423210100000002,-101.0053024,2017,16715,"(25.423210100000002, -101.0053024)"
5,6,Colima, Colima,19.249969500000002,-103.7271423,2017,4917,"(19.249969500000002, -103.7271423)"
6,7,Tuxtla Gutiérrez, Chiapas,16.759729399999998,-93.11308290000001,2017,26629,"(16.759729399999998, -93.11308290000001)"
7,8,Chihuahua, Chihuahua,28.635280600000005,-106.08889009999999,2017,24033,"(28.635280600000005, -106.08889009999999)"
8,9,Ciudad de México, Ciudad de México,19.4284706,-99.1276627,2017,75648,"(19.4284706, -99.1276627)"
9,10,Victoria de Durango, Durango,24.020320899999998,-104.6575623,2017,9256,"(24.020320899999998, -104.6575623)"
10,11,Guanajuato, Guanajuato,21.0185795,-101.2591019,2017,34832,"(21.0185795, -101.2591019)"
11,12,Chilpancingo de los Bravo, Guerrero,17.5506001,-99.50578309999999,2017,19787,"(17.5506001, -99.50578309999999)"
12,13,Pachuca de Soto, Hidalgo,20.1169701,-98.7332916,2017,15283,"(20.1169701, -98.7332916)"
13,14,Guadalajara, Jalisco,20.6668205,-103.3918228,2017,47430,"(20.6668205, -103.3918228)"
14,15,Toluca de Lerdo, México,19.2878609,-99.65323640000001,2017,75170,"(19.2878609, -99.65323640000001)"
15,16,Morelia, Michoacán,19.700780899999998,-101.184433,2017,26679,"(19.700780899999998, -101.184433)"
16,17,Cuernavaca, Morelos,18.926099800000003,-99.230751,2017,12385,"(18.926099800000003, -99.230751)"
17,18,Tepic, Nayarit,21.509510000000002,-104.8956909,2017,6866,"(21.509510000000002, -104.8956909)"
18,19,Monterrey, Nuevo León,25.6750698,-100.3184662,2017,27919,"(25.6750698, -100.3184662)"
19,20,Oaxaca de Juárez, Oaxaca,17.0654202,-96.72364809999999,2017,24528,"(17.0654202, -96.72364809999999)"
20,21,Puebla de Zaragoza, Puebla,19.0379295,-98.20346070000001,2017,37873,"(19.0379295, -98.20346070000001)"
21,22,Santiago de Querétaro, Querétaro,20.5880604,-100.38806149999999,2017,10692,"(20.5880604, -100.38806149999999)"
22,23,Chetumal, Quintana Roo,18.5141296,-88.30381009999999,2017,6531,"(18.5141296, -88.30381009999999)"
23,24,San Luis Potosí, San Luis Potosí,22.149820300000002,-100.97915649999999,2017,16260,"(22.149820300000002, -100.97915649999999)"
24,25,Culiacán Rosales, Sinaloa,24.790319399999998,-107.38781740000002,2017,16436,"(24.790319399999998, -107.38781740000002)"
25,26,Hermosillo, Sonora,29.1026001,-110.97731780000001,2017,17069,"(29.1026001, -110.97731780000001)"
26,27,Villahermosa, Tabasco,17.9868908,-92.93028259999998,2017,13384,"(17.9868908, -92.93028259999998)"
27,28,Ciudad Victoria, Tamaulipas,24.266939999999998,-98.8362755,2017,20131,"(24.266939999999998, -98.8362755)"
28,29,Tlaxcala de Xicohténcatl, Tlaxcala,19.319049800000002,-98.1998215,2017,6408,"(19.319049800000002, -98.1998215)"
29,30,Xalapa-Enríquez, Veracruz,19.5312405,-96.9158936,2017,52047,"(19.5312405, -96.9158936)"
30,31,Mérida, Yucatán,20.9753704,-89.61695859999999,2017,13097,"(20.9753704, -89.61695859999999)"
31,32,Zacatecas, Zacatecas,22.7684307,-102.5814133,2017,9394,"(22.7684307, -102.5814133)"
